               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.027634,           0.0072457,           0.0051734,             0.95483,             0.97298,             0.98377,             0.76795,            0.013341,           0.0035585,           0.0034159,           0.0033586,           0.0033586,            0.046659
                 142,            0.026384,           0.0074654,           0.0043445,             0.99112,             0.90722,             0.98543,             0.83164,            0.010392,            0.003526,           0.0047744,           0.0033555,           0.0033555,            0.046256
                 143,            0.026468,            0.007361,           0.0032045,             0.95144,             0.95232,              0.9851,             0.74548,            0.012737,           0.0042594,           0.0039548,            0.003352,            0.003352,            0.045852
                 144,            0.027301,           0.0079027,           0.0047062,             0.94475,             0.93637,             0.98187,             0.72101,            0.013222,           0.0045923,           0.0039574,           0.0033481,           0.0033481,            0.045448
                 145,             0.02585,           0.0072316,           0.0040305,             0.93179,             0.96786,             0.98659,             0.75426,            0.012457,           0.0045726,           0.0029007,           0.0033438,           0.0033438,            0.045044
                 146,            0.023863,           0.0070435,           0.0038381,             0.93155,             0.97559,              0.9895,             0.79683,            0.011945,           0.0039483,           0.0035544,           0.0033391,           0.0033391,            0.044639
                 147,            0.024745,           0.0073576,           0.0074191,             0.94642,             0.96597,              0.9893,             0.76938,            0.012298,            0.003668,           0.0038104,            0.003334,            0.003334,            0.044234
                 148,            0.024018,           0.0070527,           0.0035693,             0.94923,             0.96844,              0.9811,             0.75097,             0.01457,           0.0035693,           0.0042234,           0.0033286,           0.0033286,            0.043829
                 149,            0.027589,            0.007293,           0.0043927,             0.93582,             0.99808,             0.99295,             0.74722,            0.015831,           0.0037248,           0.0025166,           0.0033227,           0.0033227,            0.043423
                 150,            0.026384,           0.0068899,           0.0037403,             0.96442,             0.98148,             0.99194,             0.76647,            0.015109,             0.00359,           0.0019607,           0.0033165,           0.0033165,            0.043016
                 151,            0.026338,           0.0068791,           0.0049144,             0.98562,             0.95926,             0.99241,             0.81006,            0.010783,           0.0034194,           0.0020083,           0.0033099,           0.0033099,             0.04261
                 152,            0.025916,           0.0073545,           0.0035835,             0.96312,             0.97989,             0.98767,             0.74453,            0.012224,           0.0034883,           0.0028973,           0.0033029,           0.0033029,            0.042203
